low, low, low. 0
low, low, medium, 0
low, low, high, 1
low, medium, low, 0
low, medium, medium,
low, medium, high, 1
low, high, low, 1
low, high, medium, 1
low, high, high, 2
medium, low, low, 1
medium, low, medium, 2
medium, low, high, 2
medium, medium, low, 1
medium, medium, medium, 3
medium, medium, high, 3
medium, high, low, 2
medium, high, medium, 3
medium, high, high, 3
high, low, low, 1
high, low, medium, 2
high, low, high, 2
high, medium, low, 2
high, medium, medium, 3
high, medium, high, 4
high, high, low, 2
high, high, medium, 4
high, high, high, 4
low, low, low. 0
low, low, medium, 0
low, low, high, 1
low, medium, low, 0
low, medium, medium,
low, medium, high, 1
low, high, low, 1
low, high, medium, 1
low, high, high, 2
medium, low, low, 1
medium, low, medium, 2
medium, low, high, 2
medium, medium, low, 1
medium, medium, medium, 3
medium, medium, high, 3
medium, high, low, 2
medium, high, medium, 3
medium, high, high, 3
high, low, low, 1
high, low, medium, 2
high, low, high, 2
high, medium, low, 2
high, medium, medium, 3
high, medium, high, 4
high, high, low, 2
high, high, medium, 4
high, high, high, 4
low, low, low. 0
low, low, medium, 0
low, low, high, 1
low, medium, low, 0
low, medium, medium,
low, medium, high, 1
low, high, low, 1
low, high, medium, 1
low, high, high, 2
medium, low, low, 1
medium, low, medium, 2
medium, low, high, 2
medium, medium, low, 1
medium, medium, medium, 3
medium, medium, high, 3
medium, high, low, 2
medium, high, medium, 3
medium, high, high, 3
high, low, low, 1
high, low, medium, 2
high, low, high, 2
high, medium, low, 2
high, medium, medium, 3
high, medium, high, 4
high, high, low, 2
high, high, medium, 4
high, high, high, 4
